"cell_id","CGP.cell.line","CCLE.cell.line","CGP.tissue.type","CCLE.tissue.type","CGP.link","CCLE.link","tissue.type"
"1321N1",NA,"1321N1",NA,"central_nervous_system",NA,1,"central_nervous_system"
"143B",NA,"143B",NA,"bone",NA,2,"bone"
"22RV1","22RV1","22Rv1","prostate","prostate",1105,3,"prostate"
"23132-87","23132-87","23132/87",NA,"stomach",1079,4,"stomach"
"253J",NA,"253J",NA,"urinary_tract",NA,6,"urinary_tract"
"253J-BV",NA,"253J-BV",NA,"urinary_tract",NA,5,"urinary_tract"
"380","380",NA,"haematopoietic_and_lymphoid_tissue",NA,1106,NA,"haematopoietic_and_lymphoid_tissue"
"42-MG-BA",NA,"42-MG-BA",NA,"central_nervous_system",NA,7,"central_nervous_system"
"5637","5637","5637","urinary_tract","urinary_tract",431,8,"urinary_tract"
"59M",NA,"59M",NA,"ovary",NA,9,"ovary"
"639-V","639-V","639-V","urinary_tract","urinary_tract",683,10,"urinary_tract"
"647-V","647-V","647-V","urinary_tract","urinary_tract",682,11,"urinary_tract"
"697","697","697","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",684,12,"haematopoietic_and_lymphoid_tissue"
"769-P","769-P","769-P","kidney","kidney",1078,13,"kidney"
"786-0","786-0","786-O","kidney","kidney",625,14,"kidney"
"8305C",NA,"8305C",NA,"thyroid",NA,15,"thyroid"
"8505C","8505C","8505C","thyroid","thyroid",1107,16,"thyroid"
"8-MG-BA","8-MG-BA","8-MG-BA","central_nervous_system","central_nervous_system",439,17,"central_nervous_system"
"A101D","A101D","A101D","skin","skin",1077,18,"skin"
"A1207",NA,"A1207",NA,"central_nervous_system",NA,19,"central_nervous_system"
"A172","A172","A172","central_nervous_system","central_nervous_system",440,20,"central_nervous_system"
"A204","A204","A-204",NA,"soft_tissue",1056,21,"soft_tissue"
"A2058","A2058","A2058","skin","skin",678,22,"skin"
"A253","A253","A-253","salivary_gland","salivary_gland",680,23,"salivary_gland"
"A2780","A2780","A2780","ovary","ovary",687,24,"ovary"
"A375","A375","A-375","skin","skin",679,25,"skin"
"A3-KAW","A3-KAW","A3/KAW","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",1088,26,"haematopoietic_and_lymphoid_tissue"
"A427","A427",NA,"lung",NA,1059,NA,"lung"
"A431","A431",NA,"skin",NA,1080,NA,"skin"
"A498","A498","A-498","kidney","kidney",626,27,"kidney"
"A4-Fuk","A4-Fuk",NA,"haematopoietic_and_lymphoid_tissue",NA,1087,NA,"haematopoietic_and_lymphoid_tissue"
"A4/Fuk",NA,"A4/Fuk",NA,"haematopoietic_and_lymphoid_tissue",NA,28,"haematopoietic_and_lymphoid_tissue"
"A549","A549","A549","lung","lung",627,29,"lung"
"A673","A673","A-673","bone","bone",423,30,"bone"
"A704","A704","A-704","kidney","kidney",1076,31,"kidney"
"ABC-1","ABC-1","ABC-1","lung","lung",677,32,"lung"
"ACC-MESO-1",NA,"ACC-MESO-1",NA,"pleura",NA,33,"pleura"
"ACHN","ACHN","ACHN","kidney","kidney",628,35,"kidney"
"ACN","ACN",NA,"autonomic_ganglia",NA,686,NA,"autonomic_ganglia"
"AGS","AGS","AGS","stomach","stomach",676,36,"stomach"
"Alexander cells",NA,"Alexander cells",NA,"liver",NA,37,"liver"
"ALL-PO","ALL-PO",NA,"haematopoietic_and_lymphoid_tissue",NA,1095,NA,"haematopoietic_and_lymphoid_tissue"
"ALL-SIL",NA,"ALL-SIL",NA,"haematopoietic_and_lymphoid_tissue",NA,38,"haematopoietic_and_lymphoid_tissue"
"AM-38","AM-38","AM-38","central_nervous_system","central_nervous_system",1086,39,"central_nervous_system"
"AML-193","AML-193","AML-193","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",1180,40,"haematopoietic_and_lymphoid_tissue"
"AMO-1",NA,"AMO-1",NA,"haematopoietic_and_lymphoid_tissue",NA,41,"haematopoietic_and_lymphoid_tissue"
"AN3-CA","AN3-CA","AN3 CA","endometrium","endometrium",1054,42,"endometrium"
"ARH-77","ARH-77",NA,"haematopoietic_and_lymphoid_tissue",NA,675,NA,"haematopoietic_and_lymphoid_tissue"
"AsPC-1","AsPC-1","AsPC-1","pancreas","pancreas",1044,43,"pancreas"
"ATN-1","ATN-1",NA,"haematopoietic_and_lymphoid_tissue",NA,1032,NA,"haematopoietic_and_lymphoid_tissue"
"AU565",NA,"AU565",NA,"breast",NA,44,"breast"
"AZ-521",NA,"AZ-521",NA,"stomach",NA,45,"stomach"
"B2-17","B2-17",NA,NA,NA,NA,NA,"central_nervous_system"
"BALL-1","BALL-1",NA,"haematopoietic_and_lymphoid_tissue",NA,1047,NA,"haematopoietic_and_lymphoid_tissue"
"BB30-HNC","BB30-HNC",NA,"upper_aerodigestive_tract",NA,536,NA,"upper_aerodigestive_tract"
"BB49-HNC","BB49-HNC",NA,"upper_aerodigestive_tract",NA,537,NA,"upper_aerodigestive_tract"
"BB65-RCC","BB65-RCC",NA,"kidney",NA,538,NA,"kidney"
"BC-1","BC-1",NA,NA,NA,1075,NA,"haematopoietic_and_lymphoid_tissue"
"BC-3","BC-3",NA,"haematopoietic_and_lymphoid_tissue",NA,1074,NA,"haematopoietic_and_lymphoid_tissue"
"BC-3C",NA,"BC-3C",NA,"urinary_tract",NA,46,"urinary_tract"
"BCP-1",NA,"BCP-1",NA,"haematopoietic_and_lymphoid_tissue",NA,47,"haematopoietic_and_lymphoid_tissue"
"BCPAP","BCPAP","B-CPAP","thyroid","thyroid",1108,48,"thyroid"
"BDCM",NA,"BDCM",NA,"haematopoietic_and_lymphoid_tissue",NA,49,"haematopoietic_and_lymphoid_tissue"
"BE-13","BE-13",NA,"haematopoietic_and_lymphoid_tissue",NA,674,NA,"haematopoietic_and_lymphoid_tissue"
"Becker","Becker","Becker","central_nervous_system","central_nervous_system",673,50,"central_nervous_system"
"BEN","BEN","BEN","lung","lung",539,51,"lung"
"BFTC-905","BFTC-905","BFTC-905","urinary_tract","urinary_tract",1081,52,"urinary_tract"
"BFTC-909","BFTC-909","BFTC-909","kidney","kidney",1041,53,"kidney"
"BHT-101","BHT-101","BHT-101","thyroid","thyroid",672,54,"thyroid"
"BHY","BHY","BHY","upper_aerodigestive_tract","upper_aerodigestive_tract",540,55,"upper_aerodigestive_tract"
"BICR 16",NA,"BICR 16",NA,"upper_aerodigestive_tract",NA,56,"upper_aerodigestive_tract"
"BICR 18",NA,"BICR 18",NA,"upper_aerodigestive_tract",NA,57,"upper_aerodigestive_tract"
"BICR 22",NA,"BICR 22",NA,"upper_aerodigestive_tract",NA,58,"upper_aerodigestive_tract"
"BICR 31",NA,"BICR 31",NA,"upper_aerodigestive_tract",NA,59,"upper_aerodigestive_tract"
"BICR 56",NA,"BICR 56",NA,"upper_aerodigestive_tract",NA,60,"upper_aerodigestive_tract"
"BICR 6",NA,"BICR 6",NA,"upper_aerodigestive_tract",NA,61,"upper_aerodigestive_tract"
"BJ hTERT",NA,"BJ hTERT",NA,"skin",NA,62,"skin"
"BL-41","BL-41","BL-41","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",1048,63,"haematopoietic_and_lymphoid_tissue"
"BL-70","BL-70","BL-70","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",1049,64,"haematopoietic_and_lymphoid_tissue"
"BOKU","BOKU",NA,NA,NA,541,NA,"cervix"
"BONNA-12","BONNA-12",NA,NA,NA,671,NA,"haematopoietic_and_lymphoid_tissue"
"BPH-1","BPH-1",NA,NA,NA,1109,NA,"prostate"
"BT-20","BT-20","BT-20","breast","breast",685,65,"breast"
"BT-474",NA,"BT-474",NA,"breast",NA,66,"breast"
"BT-483",NA,"BT-483",NA,"breast",NA,67,"breast"
"BT-549","BT-549","BT-549","breast","breast",629,68,"breast"
"BV-173","BV-173","BV-173","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",1051,69,"haematopoietic_and_lymphoid_tissue"
"BxPC-3","BxPC-3","BxPC-3","pancreas","pancreas",670,70,"pancreas"
"C2BBe1","C2BBe1","C2BBe1","large_intestine","large_intestine",1042,71,"large_intestine"
"C32","C32","C32","skin","skin",708,72,"skin"
"C-33-A","C-33-A",NA,"cervix",NA,435,NA,"cervix"
"C3A","C3A","C3A","liver","liver",1058,73,"liver"
"C-4-II","C-4-II",NA,NA,NA,1026,NA,"cervix"
"C8166","C8166",NA,"haematopoietic_and_lymphoid_tissue",NA,707,NA,"haematopoietic_and_lymphoid_tissue"
"CA46","CA46","CA46","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",1045,74,"haematopoietic_and_lymphoid_tissue"
"Ca9-22","Ca9-22",NA,"upper_aerodigestive_tract",NA,542,NA,"upper_aerodigestive_tract"
"CADO-ES1",NA,"CADO-ES1",NA,"bone",NA,75,"bone"
"CAKI-1","CAKI-1",NA,"kidney",NA,641,NA,"kidney"
"Caki-1",NA,"Caki-1",NA,"kidney",NA,76,"kidney"
"Caki-2",NA,"Caki-2",NA,"kidney",NA,77,"kidney"
"CAL-120","CAL-120","CAL-120","breast","breast",704,78,"breast"
"CAL-12T","CAL-12T","CAL-12T","lung","lung",544,79,"lung"
"CAL-148","CAL-148","CAL-148","breast","breast",1110,80,"breast"
"CAL-27","CAL-27","CAL 27","upper_aerodigestive_tract","upper_aerodigestive_tract",1073,81,"upper_aerodigestive_tract"
"CAL-29",NA,"CAL-29",NA,"urinary_tract",NA,82,"urinary_tract"
"CAL-33","CAL-33","CAL-33","upper_aerodigestive_tract","upper_aerodigestive_tract",545,83,"upper_aerodigestive_tract"
"CAL-39","CAL-39",NA,"vulva",NA,1111,NA,"vulva"
"CAL-51","CAL-51","CAL-51","breast","breast",1082,84,"breast"
"CAL-54","CAL-54","CAL-54","kidney","kidney",1101,85,"kidney"
"CAL-62","CAL-62","CAL-62","thyroid","thyroid",706,86,"thyroid"
"CAL-72","CAL-72",NA,"bone",NA,705,NA,"bone"
"CAL-78",NA,"CAL-78",NA,"bone",NA,87,"bone"
"CAL-85-1","CAL-85-1","CAL-85-1","breast","breast",1060,88,"breast"
"Calu-1","Calu-1","Calu-1","lung","lung",514,89,"lung"
"Calu-3","Calu-3","Calu-3","lung","lung",448,90,"lung"
"Calu-6","Calu-6","Calu-6","lung","lung",515,91,"lung"
"CAMA-1","CAMA-1","CAMA-1","breast","breast",1178,92,"breast"
"Caov-3","Caov-3","Caov-3","ovary","ovary",703,93,"ovary"
"Caov-4","Caov-4","Caov-4","ovary","ovary",1181,94,"ovary"
"CAPAN-1","CAPAN-1","Capan-1","pancreas","pancreas",610,95,"pancreas"
"Capan-2","Capan-2","Capan-2","pancreas","pancreas",1072,96,"pancreas"
"CaR-1","CaR-1",NA,"large_intestine",NA,1112,NA,"large_intestine"
"CAS-1","CAS-1","CAS-1","central_nervous_system","central_nervous_system",1094,97,"central_nervous_system"
"Ca-Ski","Ca-Ski",NA,"cervix",NA,702,NA,"cervix"
"CCF-STTG1","CCF-STTG1","CCF-STTG1","central_nervous_system","central_nervous_system",701,98,"central_nervous_system"
"CCK-81",NA,"CCK-81",NA,"large_intestine",NA,99,"large_intestine"
"CCRF-CEM","CCRF-CEM",NA,"haematopoietic_and_lymphoid_tissue",NA,630,NA,"haematopoietic_and_lymphoid_tissue"
"CESS","CESS",NA,NA,NA,1033,NA,"haematopoietic_and_lymphoid_tissue"
"CFPAC-1","CFPAC-1","CFPAC-1","pancreas","pancreas",700,100,"pancreas"
"CGTH-W-1","CGTH-W-1","CGTH-W-1","thyroid","thyroid",1030,101,"thyroid"
"CH-157MN",NA,"CH-157MN",NA,"central_nervous_system",NA,102,"central_nervous_system"
"ChaGo-K-1","ChaGo-K-1","ChaGo-K-1","lung","lung",446,103,"lung"
"CHL-1","CHL-1","CHL-1","skin","skin",1061,104,"skin"
"CHP-126",NA,"CHP-126",NA,"autonomic_ganglia",NA,105,"autonomic_ganglia"
"CHP-134","CHP-134",NA,NA,NA,1092,NA,"autonomic_ganglia"
"CHP-212","CHP-212","CHP-212","autonomic_ganglia","autonomic_ganglia",699,106,"autonomic_ganglia"
"CI-1",NA,"CI-1",NA,"haematopoietic_and_lymphoid_tissue",NA,107,"haematopoietic_and_lymphoid_tissue"
"CJM",NA,"CJM",NA,"skin",NA,108,"skin"
"CL-11",NA,"CL-11",NA,"large_intestine",NA,109,"large_intestine"
"CL-14",NA,"CL-14",NA,"large_intestine",NA,110,"large_intestine"
"CL-34",NA,"CL-34",NA,"large_intestine",NA,111,"large_intestine"
"CL-40",NA,"CL-40",NA,"large_intestine",NA,112,"large_intestine"
"CMK","CMK","CMK","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",1028,115,"haematopoietic_and_lymphoid_tissue"
"CMK-11-5",NA,"CMK-11-5",NA,"haematopoietic_and_lymphoid_tissue",NA,113,"haematopoietic_and_lymphoid_tissue"
"CMK-86",NA,"CMK-86",NA,"haematopoietic_and_lymphoid_tissue",NA,114,"haematopoietic_and_lymphoid_tissue"
"CML-T1","CML-T1","CML-T1","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",1100,116,"haematopoietic_and_lymphoid_tissue"
"COLO 201",NA,"COLO 201",NA,"large_intestine",NA,117,"large_intestine"
"COLO-205","COLO-205","COLO 205","large_intestine","large_intestine",639,118,"large_intestine"
"COLO-320-HSR","COLO-320-HSR","COLO-320","large_intestine","large_intestine",1031,119,"large_intestine"
"COLO-668","COLO-668","COLO 668","lung","lung",1036,120,"lung"
"COLO-677",NA,"COLO-677",NA,"haematopoietic_and_lymphoid_tissue",NA,121,"haematopoietic_and_lymphoid_tissue"
"COLO-678","COLO-678","COLO-678","large_intestine","large_intestine",1034,122,"large_intestine"
"COLO-679","COLO-679","COLO-679","skin","skin",698,123,"skin"
"COLO-680N","COLO-680N","COLO-680N","oesophagus","oesophagus",697,124,"oesophagus"
"COLO 684",NA,"COLO 684",NA,"endometrium",NA,125,"endometrium"
"COLO-684","COLO-684",NA,"endometrium",NA,1035,NA,"endometrium"
"COLO-704",NA,"COLO-704",NA,"ovary",NA,126,"ovary"
"COLO-720E","COLO-720E",NA,NA,NA,1091,NA,"haematopoietic_and_lymphoid_tissue"
"COLO-741","COLO-741","COLO 741","large_intestine","skin",695,127,"large_intestine"
"COLO 775",NA,"COLO 775",NA,"haematopoietic_and_lymphoid_tissue",NA,128,"haematopoietic_and_lymphoid_tissue"
"COLO-783",NA,"COLO-783",NA,"skin",NA,129,"skin"
"COLO-792","COLO-792","COLO 792",NA,"skin",694,130,"central_nervous_system"
"COLO-800","COLO-800","COLO-800","skin","skin",693,131,"skin"
"COLO-818",NA,"COLO-818",NA,"skin",NA,132,"skin"
"COLO-824","COLO-824",NA,"breast",NA,692,NA,"breast"
"COLO 829",NA,"COLO 829",NA,"skin",NA,133,"skin"
"COLO-849",NA,"COLO-849",NA,"skin",NA,134,"skin"
"COR-L105","COR-L105","COR-L105",NA,"lung",688,135,"lung"
"COR-L23","COR-L23","COR-L23","lung","lung",449,136,"lung"
"COR-L24",NA,"COR-L24",NA,"lung",NA,137,"lung"
"COR-L279","COR-L279","COR-L279","lung","lung",1090,138,"lung"
"COR-L311",NA,"COR-L311",NA,"lung",NA,139,"lung"
"COR-L47",NA,"COR-L47",NA,"lung",NA,140,"lung"
"COR-L51","COR-L51","COR-L51",NA,"lung",NA,141,"lung"
"COR-L88","COR-L88","COR-L88","lung","lung",691,142,"lung"
"COR-L95",NA,"COR-L95",NA,"lung",NA,143,"lung"
"COR-L96CAR","COR-L96CAR",NA,"lung",NA,1212,NA,"lung"
"COV318",NA,"COV318",NA,"ovary",NA,144,"ovary"
"COV362",NA,"COV362",NA,"ovary",NA,145,"ovary"
"COV434",NA,"COV434",NA,"ovary",NA,146,"ovary"
"COV504",NA,"COV504",NA,"ovary",NA,147,"ovary"
"COV644",NA,"COV644",NA,"ovary",NA,148,"ovary"
"CP66-MEL","CP66-MEL",NA,"skin",NA,548,NA,"skin"
"CP67-MEL","CP67-MEL",NA,"skin",NA,1182,NA,"skin"
"CPC-N","CPC-N","CPC-N","lung","lung",549,149,"lung"
"CRO-AP2","CRO-AP2",NA,NA,NA,690,NA,"haematopoietic_and_lymphoid_tissue"
"CRO-AP5","CRO-AP5",NA,NA,NA,689,NA,"haematopoietic_and_lymphoid_tissue"
"CTB-1","CTB-1",NA,"haematopoietic_and_lymphoid_tissue",NA,1179,NA,"haematopoietic_and_lymphoid_tissue"
"CTV-1","CTV-1",NA,"haematopoietic_and_lymphoid_tissue",NA,550,NA,"haematopoietic_and_lymphoid_tissue"
"CW-2","CW-2","CW-2","large_intestine","large_intestine",1027,150,"large_intestine"
"D-245MG","D-245MG",NA,"central_nervous_system",NA,1164,NA,"central_nervous_system"
"D-247MG","D-247MG",NA,"central_nervous_system",NA,1165,NA,"central_nervous_system"
"D-263MG","D-263MG",NA,"central_nervous_system",NA,1166,NA,"central_nervous_system"
"D-283MED","D-283MED","D283 Med",NA,"central_nervous_system",712,151,"central_nervous_system"
"D-336MG","D-336MG",NA,"central_nervous_system",NA,1167,NA,"central_nervous_system"
"D341 Med",NA,"D341 Med",NA,"central_nervous_system",NA,152,"central_nervous_system"
"D-384MED","D-384MED",NA,NA,NA,1175,NA,"central_nervous_system"
"D-392MG","D-392MG",NA,"central_nervous_system",NA,1168,NA,"central_nervous_system"
"D-397MG","D-397MG",NA,"central_nervous_system",NA,1169,NA,"central_nervous_system"
"D-423MG","D-423MG",NA,"central_nervous_system",NA,1170,NA,"central_nervous_system"
"D-458MED","D-458MED",NA,NA,NA,1177,NA,"central_nervous_system"
"D-502MG","D-502MG",NA,"central_nervous_system",NA,1171,NA,"central_nervous_system"
"D-538MG","D-538MG",NA,"central_nervous_system",NA,1172,NA,"central_nervous_system"
"D-542MG","D-542MG",NA,"central_nervous_system",NA,551,NA,"central_nervous_system"
"D-556MED","D-556MED",NA,NA,NA,1176,NA,"central_nervous_system"
"D-566MG","D-566MG",NA,"central_nervous_system",NA,1173,NA,"central_nervous_system"
"DAN-G",NA,"DAN-G",NA,"pancreas",NA,153,"pancreas"
"Daoy","Daoy","Daoy","central_nervous_system","central_nervous_system",711,154,"central_nervous_system"
"Daudi","Daudi","Daudi","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",709,155,"haematopoietic_and_lymphoid_tissue"
"DB","DB","DB","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",710,156,"haematopoietic_and_lymphoid_tissue"
"DBTRG-05MG","DBTRG-05MG","DBTRG-05MG","central_nervous_system","central_nervous_system",713,157,"central_nervous_system"
"DEL","DEL","DEL","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",714,158,"haematopoietic_and_lymphoid_tissue"
"Detroit562","Detroit562","Detroit 562","upper_aerodigestive_tract","upper_aerodigestive_tract",715,159,"upper_aerodigestive_tract"
"DFCI024",NA,"DFCI024",NA,"lung",NA,160,"lung"
"DG-75","DG-75",NA,"haematopoietic_and_lymphoid_tissue",NA,716,NA,"haematopoietic_and_lymphoid_tissue"
"DJM-1","DJM-1",NA,"skin",NA,718,NA,"skin"
"DK-MG","DK-MG","DK-MG","central_nervous_system","central_nervous_system",717,161,"central_nervous_system"
"DLD-1",NA,"DLD-1",NA,"large_intestine",NA,162,"large_intestine"
"DM-3",NA,"DM-3",NA,"pleura",NA,163,"pleura"
"DMS-114","DMS-114","DMS 114","lung","lung",467,164,"lung"
"DMS-153","DMS-153","DMS 153","lung","lung",468,165,"lung"
"DMS-273","DMS-273","DMS 273","lung","lung",469,166,"lung"
"DMS 454",NA,"DMS 454",NA,"lung",NA,167,"lung"
"DMS-53","DMS-53","DMS 53","lung","lung",808,168,"lung"
"DMS-79","DMS-79","DMS 79","lung","lung",552,169,"lung"
"DND-41",NA,"DND-41",NA,"haematopoietic_and_lymphoid_tissue",NA,170,"haematopoietic_and_lymphoid_tissue"
"DOHH-2","DOHH-2","DOHH-2","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",719,171,"haematopoietic_and_lymphoid_tissue"
"DOK","DOK",NA,"upper_aerodigestive_tract",NA,1089,NA,"upper_aerodigestive_tract"
"DoTc2-4510","DoTc2-4510",NA,"cervix",NA,720,NA,"cervix"
"DSH1","DSH1",NA,"urinary_tract",NA,553,NA,"urinary_tract"
"DU-145","DU-145","DU 145","prostate","prostate",613,172,"prostate"
"DU-4475","DU-4475","DU4475","breast","breast",721,173,"breast"
"DV-90","DV-90","DV-90","lung","lung",554,174,"lung"
"EB1",NA,"EB1",NA,"haematopoietic_and_lymphoid_tissue",NA,175,"haematopoietic_and_lymphoid_tissue"
"EB2","EB2","EB2","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",722,176,"haematopoietic_and_lymphoid_tissue"
"EB-3","EB-3",NA,NA,NA,723,NA,"haematopoietic_and_lymphoid_tissue"
"EBC-1",NA,"EBC-1",NA,"lung",NA,177,"lung"
"ECC10",NA,"ECC10",NA,"stomach",NA,178,"stomach"
"ECC12","ECC12","ECC12","stomach","stomach",725,179,"stomach"
"ECC4","ECC4",NA,"gastrointestinal_tract_(site_indeterminate)",NA,726,NA,"gastrointestinal_tract_(site_indeterminate)"
"EC-GI-10","EC-GI-10","EC-GI-10","oesophagus","oesophagus",556,180,"oesophagus"
"EFE-184",NA,"EFE-184",NA,"endometrium",NA,181,"endometrium"
"EFM-19","EFM-19","EFM-19","breast","breast",727,183,"breast"
"EFM-192A",NA,"EFM-192A",NA,"breast",NA,182,"breast"
"EFO-21","EFO-21","EFO-21","ovary","ovary",1103,184,"ovary"
"EFO-27","EFO-27","EFO-27","ovary","ovary",728,185,"ovary"
"EGI-1","EGI-1",NA,"biliary_tract",NA,729,NA,"biliary_tract"
"EHEB","EHEB","EHEB",NA,"haematopoietic_and_lymphoid_tissue",730,186,"haematopoietic_and_lymphoid_tissue"
"EJM",NA,"EJM",NA,"haematopoietic_and_lymphoid_tissue",NA,187,"haematopoietic_and_lymphoid_tissue"
"EKVX","EKVX",NA,"lung",NA,648,NA,"lung"
"EM-2","EM-2","EM-2","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",731,188,"haematopoietic_and_lymphoid_tissue"
"EN",NA,"EN",NA,"endometrium",NA,189,"endometrium"
"EOL-1",NA,"EOL-1",NA,"haematopoietic_and_lymphoid_tissue",NA,190,"haematopoietic_and_lymphoid_tissue"
"EoL-1-cell","EoL-1-cell",NA,"haematopoietic_and_lymphoid_tissue",NA,732,NA,"haematopoietic_and_lymphoid_tissue"
"EPLC-272H","EPLC-272H","EPLC-272H","lung","lung",557,191,"lung"
"ES1","ES1",NA,"bone",NA,1190,NA,"bone"
"ES-2",NA,"ES-2",NA,"ovary",NA,192,"ovary"
"ES3","ES3",NA,"bone",NA,424,NA,"bone"
"ES5","ES5",NA,"bone",NA,425,NA,"bone"
"ES6","ES6",NA,"bone",NA,1189,NA,"bone"
"ES7","ES7",NA,"bone",NA,426,NA,"bone"
"ES8","ES8",NA,"bone",NA,1187,NA,"bone"
"ESS-1","ESS-1","ESS-1","endometrium","endometrium",748,193,"endometrium"
"ETK-1","ETK-1",NA,"biliary_tract",NA,733,NA,"biliary_tract"
"EVSA-T","EVSA-T","EVSA-T","breast","breast",734,194,"breast"
"EW-1","EW-1",NA,"bone",NA,1194,NA,"bone"
"EW-11","EW-11",NA,"bone",NA,427,NA,"bone"
"EW-12","EW-12",NA,"bone",NA,1193,NA,"bone"
"EW-13","EW-13",NA,"bone",NA,1197,NA,"bone"
"EW-16","EW-16",NA,"bone",NA,1196,NA,"bone"
"EW-18","EW-18",NA,"bone",NA,1195,NA,"bone"
"EW-22","EW-22",NA,"bone",NA,1198,NA,"bone"
"EW-24","EW-24",NA,"bone",NA,1199,NA,"bone"
"EW-3","EW-3",NA,NA,NA,1192,NA,"bone"
"EW-7","EW-7",NA,NA,NA,1191,NA,"bone"
"EW8",NA,"EW8",NA,"bone",NA,195,"bone"
"EWS502",NA,"EWS502",NA,"bone",NA,196,"bone"
"F-36P",NA,"F-36P",NA,"haematopoietic_and_lymphoid_tissue",NA,197,"haematopoietic_and_lymphoid_tissue"
"F5",NA,"F5",NA,"central_nervous_system",NA,198,"central_nervous_system"
"FADU","FADU","FaDu","upper_aerodigestive_tract","upper_aerodigestive_tract",735,199,"upper_aerodigestive_tract"
"FTC-133","FTC-133","FTC-133","thyroid","thyroid",736,200,"thyroid"
"FTC-238",NA,"FTC-238",NA,"thyroid",NA,201,"thyroid"
"FU97",NA,"FU97",NA,"stomach",NA,202,"stomach"
"FU-OV-1",NA,"FU-OV-1",NA,"ovary",NA,203,"ovary"
"G-292, clone A141B1",NA,"G-292, clone A141B1",NA,"bone",NA,204,"bone"
"G-361","G-361","G-361","skin","skin",737,205,"skin"
"G-401","G-401","G-401",NA,"soft_tissue",810,206,"kidney"
"G-402",NA,"G-402",NA,"soft_tissue",NA,207,"soft_tissue"
"GA-10",NA,"GA-10",NA,"haematopoietic_and_lymphoid_tissue",NA,208,"haematopoietic_and_lymphoid_tissue"
"GA-10-Clone-20","GA-10-Clone-20",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue"
"GA-10-Clone-4","GA-10-Clone-4",NA,"haematopoietic_and_lymphoid_tissue",NA,738,NA,"haematopoietic_and_lymphoid_tissue"
"GAK","GAK",NA,"skin",NA,1085,NA,"skin"
"GAMG","GAMG","GAMG","central_nervous_system","central_nervous_system",739,209,"central_nervous_system"
"GB-1",NA,"GB-1",NA,"central_nervous_system",NA,210,"central_nervous_system"
"GCIY","GCIY","GCIY","stomach","stomach",740,211,"stomach"
"GCT","GCT","GCT","soft_tissue","soft_tissue",747,212,"soft_tissue"
"GDM-1","GDM-1","GDM-1",NA,"haematopoietic_and_lymphoid_tissue",741,213,"haematopoietic_and_lymphoid_tissue"
"GI-1","GI-1","GI-1","central_nervous_system","central_nervous_system",742,214,"central_nervous_system"
"GI-ME-N","GI-ME-N",NA,NA,NA,743,NA,"autonomic_ganglia"
"GMS-10","GMS-10","GMS-10","central_nervous_system","central_nervous_system",744,215,"central_nervous_system"
"GOS-3",NA,"GOS-3",NA,"central_nervous_system",NA,216,"central_nervous_system"
"GOTO","GOTO",NA,"autonomic_ganglia",NA,745,NA,"autonomic_ganglia"
"GOTO-P3","GOTO-P3",NA,NA,NA,NA,NA,"adrenal_gland"
"GP2d",NA,"GP2d",NA,"large_intestine",NA,217,"large_intestine"
"Gp2D","Gp2D",NA,NA,NA,NA,NA,"large_intestine"
"GP5d","GP5d",NA,"large_intestine",NA,807,NA,"large_intestine"
"GRANTA-519",NA,"GRANTA-519",NA,"haematopoietic_and_lymphoid_tissue",NA,218,"haematopoietic_and_lymphoid_tissue"
"GR-M",NA,"GR-M",NA,"skin",NA,219,"skin"
"GR-ST","GR-ST",NA,"haematopoietic_and_lymphoid_tissue",NA,746,NA,"haematopoietic_and_lymphoid_tissue"
"GSS",NA,"GSS",NA,"stomach",NA,220,"stomach"
"GSU",NA,"GSU",NA,"stomach",NA,221,"stomach"
"GT3TKB","GT3TKB",NA,"stomach",NA,749,NA,"stomach"
"H4","H4","H4","central_nervous_system","central_nervous_system",750,222,"central_nervous_system"
"H9","H9",NA,"haematopoietic_and_lymphoid_tissue",NA,751,NA,"haematopoietic_and_lymphoid_tissue"
"HA7-RCC","HA7-RCC",NA,"kidney",NA,558,NA,"kidney"
"HAL-01","HAL-01",NA,"haematopoietic_and_lymphoid_tissue",NA,1185,NA,"haematopoietic_and_lymphoid_tissue"
"HARA",NA,"HARA",NA,"lung",NA,223,"lung"
